ema_fast,ema_slow,atr_min,k_sl,k_tp,atr_pct_min,min_trend_strength,trades,win_rate,avg_r,total_return_pct,max_dd_pct,profit_factor,score
50,200,5.0,1.5,4.0,0.0,0.01,62,27.419354838709676,0.0053763440860204546,-2.5476131699960436,30.08128613349117,0.9749135855860152,-2.3221716382039688
50,200,5.0,1.5,3.0,0.5,0.01,60,33.33333333333333,3.2566542055671256e-16,-2.3415530043727206,29.319476280923677,0.9735148762720012,-2.6621132678010127
50,200,5.0,1.5,4.0,0.0,0.005,109,27.522935779816514,0.009174311926606482,-3.653749776051718,35.128795763379095,0.980573409325533,-2.862663471846756
50,200,10.0,1.5,4.0,0.0,0.01,59,27.11864406779661,-0.005649717514124943,-3.6671295682403016,30.884500392924835,0.9622374895770811,-3.2199834948401276
50,200,10.0,1.0,4.0,0.5,0.005,104,20.192307692307693,0.009615384615386947,-5.884067907102686,36.31399635847122,0.966750535394374,-3.2718213795528475
50,200,5.0,2.0,4.0,0.5,0.005,63,33.33333333333333,1.7834058744772356e-15,-2.457180605615361,23.823167654266438,0.9728801900172619,-3.4380826838747587
50,200,10.0,2.0,4.0,0.0,0.005,72,33.33333333333333,1.3877787807814457e-15,-2.803242639045622,25.43509380328847,0.9732356841095415,-3.6737203339678586
50,200,5.0,2.0,2.5,0.5,0.01,52,44.230769230769226,-0.004807692307692184,-1.7788309051854467,20.106274580501037,0.9716450461489351,-3.9131594942068677
50,200,10.0,1.5,3.0,0.5,0.01,58,32.758620689655174,-0.01724137931034449,-4.1812725710093535,30.650977512680218,0.9514399160048902,-4.468788054054377
50,200,10.0,2.0,2.5,0.5,0.01,50,44.0,-0.010000000000000333,-2.2188460977456526,20.46418574465015,0.9634337802295173,-4.770736032159571
50,200,5.0,1.5,4.0,0.3,0.005,96,27.083333333333332,-0.006944444444444105,-6.127837246771262,33.423678588767814,0.9618223683350895,-4.965409726698787
50,200,5.0,1.5,2.5,0.5,0.01,62,37.096774193548384,-0.0107526881720415,-3.3176825817904043,24.65966332474536,0.9608804423663967,-4.990957093037204
50,200,10.0,1.5,4.0,0.5,0.005,78,26.923076923076923,-0.012820512820511226,-5.861190820030093,27.61520165698913,0.9510853414150753,-5.714290747124223
50,200,10.0,2.0,4.0,0.3,0.005,67,32.83582089552239,-0.014925373134327211,-4.521217877702821,25.346704301181106,0.953210365338045,-5.85708890188796
50,200,10.0,1.0,4.0,0.0,0.01,85,18.823529411764707,-0.05882352941176977,-15.007753111192802,46.95255600322571,0.9027418491427488,-6.016688038743469
50,200,5.0,1.5,4.0,0.5,0.005,82,26.82926829268293,-0.016260162601624946,-6.671828892167742,29.67374363320668,0.9478798652792351,-6.032278554517467
50,200,5.0,1.5,3.0,0.3,0.01,71,32.3943661971831,-0.028169014084507667,-6.541579460621138,35.03782850835545,0.9393098924931211,-6.048043773740103
50,200,5.0,1.0,4.0,0.0,0.01,90,18.88888888888889,-0.05555555555555897,-15.334326232737395,47.15638482303151,0.9050948417586151,-6.1422941025514
50,200,5.0,2.0,4.0,0.0,0.005,82,32.926829268292686,-0.01219512195121825,-5.085115376647309,27.185642188356912,0.9573348724063453,-6.15901307963752
50,200,5.0,2.0,3.0,0.3,0.01,54,38.88888888888889,-0.027777777777778873,-4.4914577068378865,27.728030894389793,0.9373641282544389,-6.299322168805819
50,200,10.0,1.5,2.5,0.5,0.01,60,36.666666666666664,-0.022222222222220325,-4.527007157791651,25.6020375162067,0.9451761802627808,-6.483478603891769
50,200,5.0,1.0,4.0,0.0,0.005,155,19.35483870967742,-0.03225806451613021,-19.467324783226626,56.406113129549354,0.9354759341756057,-6.679895323098777
50,200,10.0,2.0,4.0,0.5,0.01,35,31.428571428571427,-0.05714285714285647,-5.203446316203508,23.188813324877984,0.8978732747083114,-7.052404188708063
50,200,5.0,1.0,3.0,0.0,0.01,112,24.107142857142858,-0.035714285714287544,-13.408593084072152,45.1141051658186,0.9278398356532868,-7.165006771228947
50,200,5.0,2.0,4.0,0.0,0.01,47,31.914893617021278,-0.0425531914893623,-5.65160607693077,24.903182645967664,0.9175528833463976,-7.242865672021329
50,200,10.0,2.0,3.0,0.3,0.01,52,38.46153846153847,-0.03846153846154048,-5.380877458725908,28.401060921725634,0.9228004378682447,-7.286939945870068
50,200,10.0,1.5,3.0,0.3,0.01,69,31.88405797101449,-0.04347826086956586,-8.302177649746012,36.261605679312645,0.9213062103421108,-7.299928078506983
50,200,5.0,1.0,4.0,0.5,0.005,115,19.130434782608695,-0.043478260869563745,-16.948465687380253,43.80101010477889,0.9119309316318385,-7.402375349840027
50,200,5.0,1.5,2.5,0.3,0.01,74,36.486486486486484,-0.027027027027025665,-6.218448432326895,30.324488828913747,0.9391781952499443,-7.482049770833209
50,200,5.0,2.0,2.5,0.3,0.01,60,43.333333333333336,-0.025000000000000546,-4.389173214234232,24.804664784970907,0.9393694425233788,-7.667811986130541
50,200,10.0,1.5,4.0,0.3,0.01,55,25.454545454545453,-0.06666666666666778,-9.595365651628196,31.678487463943856,0.8910552220454125,-7.710143087177129
50,200,5.0,1.0,4.0,0.3,0.005,139,18.705035971223023,-0.06474820143884967,-24.56651092108678,57.64608414643717,0.9075877755019739,-7.971356203468542
50,200,10.0,1.0,3.0,0.0,0.01,106,23.58490566037736,-0.05660377358490789,-16.447632048573546,47.04039761149454,0.9076608455152869,-8.246440716891756
50,200,10.0,2.0,2.5,0.3,0.01,58,43.103448275862064,-0.0301724137931044,-4.817494489033636,25.14152790937874,0.9316093633471143,-8.259268302060923
50,200,10.0,1.5,2.5,0.3,0.01,72,36.11111111111111,-0.037037037037035356,-7.391489564509746,31.196006085168264,0.9261397776132557,-8.556060035759861
50,200,5.0,1.5,4.0,0.3,0.01,56,25.0,-0.08333333333333444,-11.403458338595618,33.044917714664976,0.8728572118216701,-8.627240682713886
50,200,10.0,1.0,2.5,0.3,0.01,103,27.184466019417474,-0.048543689320389175,-13.849847433014439,43.59104262495776,0.9152744465541033,-8.637111760693111
50,200,5.0,2.0,4.0,0.5,0.01,36,30.555555555555557,-0.08333333333333268,-7.099377389879436,24.725037058380426,0.8652777153801569,-8.773512441421815
50,200,10.0,1.0,4.0,0.3,0.01,82,17.073170731707318,-0.1463414634146367,-25.645762568930397,49.87958806049279,0.817458329517895,-8.778229731030615
50,200,10.0,1.5,4.0,0.5,0.01,48,25.0,-0.083333333333333,-9.857694868673327,27.40959067219424,0.8660829171039792,-8.991100037361651
